code,system
B63..00,readv2
B63z.00,readv2
B630.00,readv2
BBn0.14,readv2
B630.11,readv2
B630.12,readv2
B630000,readv2
B630200,readv2
B936.12,readv2
BBn0.12,readv2
BBn2.00,readv2
BBn2.11,readv2
101350.0,med
102164.0,med
10411.0,med
104418.0,med
108102.0,med
108235.0,med
110349.0,med
15211.0,med
16527.0,med
18744.0,med
19028.0,med
21329.0,med
22158.0,med
26135.0,med
31671.0,med
3672.0,med
37182.0,med
38321.0,med
39187.0,med
39490.0,med
43312.0,med
43450.0,med
43459.0,med
43552.0,med
46042.0,med
4944.0,med
52593.0,med
53647.0,med
63864.0,med
64068.0,med
64618.0,med
71994.0,med
73135.0,med
9172.0,med
99067.0,med
99702.0,med
B630100,readv2
B630400,readv2
B936.11,readv2
BBn2.12,readv2
B630300,readv2
B631.00,readv2
BBr3.00,readv2
BBr3z00,readv2
BBm6.00,readv2
BBmE.00,readv2
BBmK.00,readv2
C333000,readv2
C333011,readv2
BBn..00,readv2
BBn3.00,readv2
BBnz.00,readv2
BBn0.00,readv2
BBn0.11,readv2
BBn0.13,readv2
C333.00,readv2
C333z00,readv2
C333100,readv2
C333200,readv2
C333300,readv2
C88.0,icd10
C88.2,icd10
C90,icd10